,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-qsort1:cdataset-qsort-0005:,cbench-automotive-qsort1:cdataset-qsort-0009:,cbench-automotive-qsort1:cdataset-qsort-0013:,cbench-automotive-qsort1:cdataset-qsort-0017:,cbench-automotive-qsort1:cdataset-qsort-0020:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0005:corners,cbench-automotive-susan:image-pgm-0009:corners,cbench-automotive-susan:image-pgm-0013:corners,cbench-automotive-susan:image-pgm-0017:corners,cbench-automotive-susan:image-pgm-0020:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0005:edges,cbench-automotive-susan:image-pgm-0009:edges,cbench-automotive-susan:image-pgm-0013:edges,cbench-automotive-susan:image-pgm-0017:edges,cbench-automotive-susan:image-pgm-0020:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-automotive-susan:image-pgm-0005:smoothing,cbench-automotive-susan:image-pgm-0009:smoothing,cbench-automotive-susan:image-pgm-0013:smoothing,cbench-automotive-susan:image-pgm-0017:smoothing,cbench-automotive-susan:image-pgm-0020:smoothing,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-dijkstra:cdataset-dijkstra-0005:,cbench-network-dijkstra:cdataset-dijkstra-0009:,cbench-network-dijkstra:cdataset-dijkstra-0013:,cbench-network-patricia:cdataset-patricia-0001:,cbench-network-patricia:cdataset-patricia-0005:,cbench-network-patricia:cdataset-patricia-0009:,cbench-network-patricia:cdataset-patricia-0013:,cbench-network-patricia:cdataset-patricia-0017:,cbench-network-patricia:cdataset-patricia-0020:,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-c:pcm-0005:,cbench-telecom-adpcm-c:pcm-0009:,cbench-telecom-adpcm-c:pcm-0013:,cbench-telecom-adpcm-c:pcm-0017:,cbench-telecom-adpcm-c:pcm-0020:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-adpcm-d:adpcm-0005:,cbench-telecom-adpcm-d:adpcm-0009:,cbench-telecom-adpcm-d:adpcm-0013:,cbench-telecom-adpcm-d:adpcm-0017:,cbench-telecom-adpcm-d:adpcm-0020:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-crc32:pcm-0005:,cbench-telecom-crc32:pcm-0009:,cbench-telecom-crc32:pcm-0013:,cbench-telecom-crc32:pcm-0017:,cbench-telecom-crc32:pcm-0020:,cbench-telecom-gsm:au-0001:,cbench-telecom-gsm:au-0005:,cbench-telecom-gsm:au-0009:,cbench-telecom-gsm:au-0013:,cbench-telecom-gsm:au-0017:,cbench-telecom-gsm:au-0020:
Default,1.7016240617397773e-05,9.432358529176303e-06,5.93220718060059e-06,8.094068717480486e-06,6.329991446641605e-06,6.7874461015919454e-06,1.0525544773335278e-05,1.2446409120070838e-05,7.682957109115914e-06,1.647010641678714e-05,3.4466039987393766e-07,1.068634913005332e-06,1.701231900351469e-06,1.9895111040704496e-06,6.593396753621465e-06,1.5158998910723434e-05,1.219812281257605e-06,2.5210984669671516e-06,3.5966707385797574e-06,2.7801973047886508e-05,6.243435618240248e-05,5.318198007754887e-05,5.767422342808042e-06,2.0922811698827456e-05,2.29577973314629e-05,4.279737601558734e-09,1.7798136511486299e-06,1.316029949792199e-05,8.769774444531081e-05,2.1123671435202347e-07,3.1755241922921974e-07,5.818788799065459e-07,8.828717093836836e-06,2.3282731104206735e-05,0.00014680898429225866,8.665473394447285e-08,8.704407146526216e-07,1.0786585792939342e-07,5.541343852860087e-07,6.423877579497015e-07,1.0291917043238563e-06,5.434414290986647e-08,5.481158039043862e-07,6.957667966820775e-08,5.60651346211954e-07,5.247828391489287e-07,7.470167084792066e-07,2.305959020410778e-07,1.588966799348128e-06,2.16700493891933e-07,1.3249289648240403e-06,1.3401668622385587e-06,2.2497821849912066e-06,8.237709567035326e-06,4.677324415343124e-05,1.402962539997884e-05,2.5159142936336125e-05,4.017517246388044e-05,7.117184942734864e-05
ActiveFourier,0.0002620970944404658,9.787537744453542e-05,2.6618645118525055e-05,5.131123126403044e-05,3.5951385934370916e-05,4.8010410792893174e-05,8.6445315731687e-05,0.00015625565314072553,6.110649786619652e-05,0.00012302201053081721,6.1887002261272204e-06,7.514681011423541e-06,5.566559356999807e-06,3.723942313004254e-05,7.730047219217094e-05,0.00026383182187124463,2.27630069373355e-05,4.84081946277808e-05,5.430979670790737e-05,0.00017512473582732154,0.00026200317389950256,0.0013988342721440094,1.5722987370718663e-05,0.00011586208544122187,6.097312924648253e-05,1.6334605761760693e-09,9.722215554423191e-05,0.0003022303153616871,0.0015943365669998477,2.2648353255071486e-07,1.0933574218809456e-06,7.937952511597898e-06,2.0874427764070063e-05,0.00010655946951830075,0.00026516727202048564,3.7300026058746654e-07,3.360470141086333e-06,6.411324271311669e-07,2.699892778177904e-06,1.3042641219343533e-06,6.56593919064829e-06,2.675582471082459e-07,3.3879632450551257e-06,4.177201587512714e-07,2.710805341926029e-06,2.5231692878340063e-06,2.5964717443927514e-06,4.629442971609888e-07,5.0603341901320255e-06,7.065766702931815e-07,4.857498964966554e-06,3.9125500548319624e-06,2.2138807561672125e-06,3.7163818123296515e-05,0.00029401801771851985,5.667135280173694e-05,0.00029694202240838387,0.0005353498456091015,0.0010181252131140934
ActiveLowDegree,8.381432020972196e-05,4.80267036556333e-05,3.1567186318383476e-05,7.074012319771568e-05,6.063052130321754e-05,3.473661226741968e-05,6.475888679351246e-05,8.117003318056484e-06,4.162419360783731e-05,5.9091279422735574e-05,3.342517369862803e-06,1.3501664567499137e-05,1.4865803952722775e-05,2.3412432810897973e-05,4.342052919777235e-05,0.00022618916850598676,1.8970795971054405e-05,2.6050070433210523e-05,4.122292336510582e-05,0.00014757770979678434,0.0003768419127953554,0.0006487158597053486,2.567263857318145e-05,0.00046501457004157273,0.0002763659224521398,4.954892181452459e-09,6.743751931008227e-05,0.00022550303414399533,0.0005525765830402058,1.9334231914206326e-07,4.926423454648534e-07,2.645357523729457e-06,1.7372466171009305e-05,0.00014039144505088494,0.0010764453428816336,3.037846340198443e-07,2.251305687259521e-06,8.855715140314527e-07,4.386362814116814e-06,1.8331410749690997e-06,6.393969161411026e-06,1.8645502628848672e-07,1.8448662117393827e-06,1.9742477817010817e-07,2.0371117881811527e-06,1.4953959571958446e-06,1.950814202982445e-06,4.144138655480254e-07,2.9125604901998785e-06,4.852870052246893e-07,2.2201286041901366e-06,3.2153153001043057e-06,5.114069629926842e-06,4.6071700613341715e-05,0.00042016523030956446,2.8130931488411893e-05,0.000275621604705094,0.0001919895082444581,0.0004321040395386506
BOCS-SDP-l1,9.735378713447883e-05,7.690704914881813e-05,3.530034459541023e-05,2.7910418091167846e-05,3.6824578064937726e-05,4.420459909602907e-05,5.5732787410570084e-05,0.00014056900056245847,6.210965526433438e-05,7.988958548846554e-05,6.4639292812577715e-06,8.118117694164159e-06,2.5351323547346983e-05,2.791955813814407e-05,2.8686920759664852e-05,0.0003052015870978211,1.561295937934461e-05,1.9786408472050156e-05,3.008934607461039e-05,0.00017401800265989538,0.0008561364736498844,0.0017450272458053298,4.083218248281746e-05,0.0002496193639297223,0.00016720552571058248,3.1935709437386e-09,7.157927592071035e-05,0.0002933214184890877,0.0015325203695477074,2.1061648994720636e-07,1.6354826266448275e-06,3.38911499483312e-06,2.5461077215660937e-05,0.00013690332536861732,0.00046474527110317184,2.42374703444491e-07,3.618262956932929e-06,1.0678187249034385e-06,6.497324786260486e-06,4.202538465508377e-06,1.7133311856634757e-06,2.0186266055488292e-07,2.8383810191288634e-06,1.7358612531497726e-07,1.5599794142838316e-06,2.4132570125979144e-06,3.9654387332415424e-06,4.857171947237604e-06,3.340995535908672e-05,5.062641638846261e-06,3.6194488268000674e-06,2.7909617391132833e-05,3.770023429677419e-05,1.0701140408526616e-05,0.0007515234312935927,3.0699016903116173e-05,5.8937226678278024e-05,7.742246659845234e-05,0.00014836321863254665
Fourier,0.0023096353582408528,7.578798997193697e-05,5.0452859104307805e-05,5.973996677532842e-05,5.1542681233254556e-05,5.5949678805590536e-05,9.728674937956256e-05,4.16432541439838e-05,0.00011921949574104816,0.00023485995074719053,7.806246351135337e-06,3.243318931732832e-05,6.301177976116819e-05,3.826643733559745e-05,9.050851373755675e-05,0.0006586204648003221,2.0034532741508367e-05,5.718640659196211e-05,6.244284212757893e-05,0.0008727671905504166,0.002083112092553425,0.005428022878181126,0.00016205037618213788,0.0006230628340481124,0.0011935200000947278,1.0569175856881546e-08,0.00023480988066271785,0.0027360090597400885,0.010675182067177318,1.4251151801349953e-07,1.3694516605133985e-06,4.763912714894246e-06,3.0493365918112956e-05,0.00011160409654862199,0.00029986760552507176,2.0440028579569125e-06,0.00011874968012124837,1.950074933446325e-06,1.421973749039919e-05,2.1864945353927626e-05,5.547831902065631e-05,9.965947854183273e-07,9.164426554924131e-06,8.089773963082951e-07,5.503791022121796e-06,7.312036721262527e-06,1.098242513947779e-05,8.994350766977958e-05,0.0006701170732751184,0.0001137334597888989,0.0007385348704050005,0.0006713241145409016,0.0009489177119083663,4.801862819001531e-05,0.00033912897435841796,5.6635004252238544e-05,0.0002850575520643272,0.000454981972123871,0.0005159857221506536
LowDegree,0.00142749939958213,5.6511517896930393e-05,5.0990148319378634e-05,4.805886143183363e-05,4.3407511386268e-05,4.735173559422055e-05,8.757144713009581e-05,3.778635579014801e-05,7.408779999734102e-05,0.00014621452169311385,6.90361431935519e-06,4.599838381460544e-05,6.202989245117e-05,3.606830185593944e-05,0.0001011402097520258,0.00047961460392556516,3.115624708350265e-05,7.265089895780872e-05,8.672167866836916e-05,0.0016110208214046744,0.0048087494434775795,0.008335650359102725,0.00031400870570535847,0.001430140396749902,0.002373663708282817,1.347324933816271e-08,0.00021525288463645147,0.0023351322287425984,0.009870977011361037,2.024695096350707e-07,1.5072717987384492e-06,2.9998956006558313e-06,1.5331642596755273e-05,0.00015458768965919,0.00031321528698310486,8.740798915728534e-07,1.625105754558337e-05,1.230979798797116e-06,8.394151697427462e-06,1.5995736281233036e-05,4.5619300707697815e-05,7.478430809540104e-07,7.781075579876517e-06,8.079301013132017e-07,7.174996384910527e-06,5.498916051644034e-06,1.0786508309981247e-05,4.6283414726669284e-05,3.6512587562865975e-05,8.664438797760713e-05,0.0006270573229168785,0.0003432887557072516,0.0005262230649530353,7.223005308261865e-05,0.0003055606676203608,4.964543978420255e-05,0.00027742135986968686,0.00031644203551564213,0.000805407499642629
MonoTuner,0.000190928839916313,0.00010141925455820942,9.742241935880818e-05,8.344745854911287e-05,0.00010967239884857446,9.624799277988544e-05,8.599382960755587e-05,2.3613068849807046e-05,7.404453518875957e-05,4.7272121740100806e-05,1.930698082218805e-06,2.5679329523501977e-05,2.7860814902321618e-05,1.2986643175246537e-05,3.415171241086159e-05,0.00020630005671796114,5.7729759125900375e-06,2.5234738715896118e-05,5.152969776698105e-05,0.00010095020646082751,0.000920661414223376,0.0008774000194551593,2.4683496791943643e-05,0.00025333760347533136,0.0006838559760010082,6.70163418976094e-10,1.3008903155455267e-05,5.7272969913582185e-05,0.0003359111613031614,6.933664858829579e-07,1.000774296491019e-06,6.644479250714819e-06,0.00028655639963546896,0.00020774171857023687,0.0005203453907197686,9.200524696109287e-07,3.500441273129938e-06,2.2558790583965658e-07,3.2694636216885004e-06,1.1366247070685184e-05,3.460259460955862e-06,2.756259252581994e-07,4.899310606091085e-06,5.366771328328675e-07,3.119817554950905e-06,1.945506397505305e-06,3.9048416526374425e-06,8.065524364114527e-07,7.3342521490168096e-06,7.976932843855475e-07,2.4792130262612774e-06,2.0302974044797143e-06,4.973217049875621e-06,1.2613859498293536e-05,6.5955742972249e-05,1.2164131344333527e-05,8.418881092716627e-05,5.287950210119607e-05,0.00010560562208319236
RandomTuner,0.0002563937464842389,4.595481976019597e-05,2.618868669407739e-05,2.9728320298256045e-05,2.806499705315589e-05,2.7414349686948962e-05,4.886701417971028e-05,3.102635524593621e-05,3.0244011836301887e-05,5.1863762177173854e-05,2.1291409581836226e-06,5.923615393646997e-06,8.49101088777234e-06,2.4193558337438397e-05,4.036847216162315e-05,0.00014274278922015178,1.5518009072024808e-05,1.8858281509232217e-05,3.1120160836899836e-05,0.00010772803040604714,0.0002889917978765702,0.0004926181176114065,1.919259616529772e-05,0.00023232910982451998,0.0002570294810973165,7.050559624951627e-09,0.00012308043575865834,0.001299712814522177,0.005207453033292316,1.4390307618775184e-07,4.859868941086885e-07,2.060366035243701e-06,1.3318924796947831e-05,9.951423874742488e-05,0.0001850617017955505,2.797217711143726e-07,3.3017869223940995e-06,5.03144770444017e-07,3.0539377771414327e-06,1.7629935732745706e-06,8.784123751858891e-06,1.0861967990243576e-07,1.2274375408944123e-06,1.1053141310704493e-07,9.53590626948272e-07,9.537834674250582e-07,1.3168047266017752e-06,2.765750701998679e-07,1.5327634624745275e-06,2.1057401101879199e-07,1.9679952842789774e-06,1.6958570120761301e-06,2.6429815015857305e-06,2.8374197837460494e-05,0.0003064530557335715,3.4629303678483344e-05,0.00016009222719465507,0.00024008301741112038,0.0006078510636271057
SRTuner,0.0002851872061910075,4.311336114168142e-05,4.051037834689819e-05,4.517160953658023e-05,0.00010563023996314631,4.1381930495142386e-05,6.29969822737608e-05,3.5151710585717975e-05,3.137459295405424e-05,8.41338924310894e-05,3.812247625072889e-06,1.3737323817386904e-05,1.4394566871965196e-05,5.183198649074181e-05,6.636075018284427e-05,0.00022017420484240179,4.1304806979389646e-05,5.709471416333555e-05,7.491512337656779e-05,0.00022127234670487963,0.000982383506387526,0.0006484549642247893,7.970086914282135e-05,0.00013306164644308325,0.00018555255291943123,9.769727709641806e-09,0.0002192669058884565,0.002137352604974211,0.008472305552363823,2.3444048169453356e-07,7.681514797095198e-07,2.088272362717102e-06,1.066616287300596e-05,5.7370912269692034e-05,0.00023912728161916126,1.7786791239105632e-06,2.4884420828248873e-05,2.245791598497677e-06,1.990095587517076e-05,1.2678914938804047e-05,3.3418317105263384e-05,6.440875285582747e-07,1.2008720705836609e-06,7.012640918665157e-07,4.520462070707731e-06,8.351931525268671e-07,1.1034090157094088e-06,2.7368134278890334e-06,2.489481155914527e-05,3.1840771951532453e-06,2.3723364151831654e-05,1.5420821783890433e-05,3.343828616454222e-05,2.3972742524674715e-05,0.0001642267960420701,1.996133828708415e-05,0.00013190901767508144,0.00016864725618182487,0.0002262176884871951
